Player id,Player,Goals,Position,Club,League,Age,Country,Domestic,
269058,James RODRIGUEZ,6,Midfielder,AS Monaco,France,22,Colombia,FALSE,
321722,Thomas MUELLER,5,Forward,FC Bayern Muenchen,Germany,24,Germany,TRUE,
314197,NEYMAR,4,Forward,FC Barcelona,Spain,22,Brazil,FALSE,
229397,Lionel MESSI,4,Forward,FC Barcelona,Spain,26,Argentina,FALSE,
217315,Robin VAN PERSIE,4,Forward,Manchester United FC,England,30,Netherlands,FALSE,
184616,Arjen ROBBEN,3,Forward,FC Bayern Muenchen,Germany,30,Netherlands,FALSE,
373400,Enner VALENCIA,3,Forward,CF Pachuca,Mexico,24,Ecuador,FALSE,
297103,Karim BENZEMA,3,Forward,Real Madrid CF,Spain,26,France,FALSE,
321653,Xherdan SHAQIRI,3,Midfielder,FC Bayern Muenchen,Germany,22,Switzerland,FALSE,
306548,Andre SCHUERRLE,3,Forward,Chelsea FC,England,23,Germany,FALSE,
294620,Andre AYEW,2,Midfielder,Olympique Marseille,France,24,Ghana,FALSE,
207851,Clint DEMPSEY,2,Forward,Seattle Sounders FC,USA,31,USA,TRUE,
290186,GERVINHO,2,Forward,AS Roma,Italy,27,Ivory Coast,FALSE,
359381,Ivan PERISIC,2,Midfielder,VfL Wolfsburg,Germany,25,Croatia,FALSE,
270775,Luis SUAREZ,2,Forward,Liverpool FC,England,27,Uruguay,FALSE,
375518,Mario MANDZUKIC,2,Forward,FC Bayern Muenchen,Germany,28,Croatia,FALSE,
336098,Memphis DEPAY,2,Forward,PSV Eindhoven,Netherlands,20,Netherlands,TRUE,
213001,Tim CAHILL,2,Forward,New York Red Bulls,USA,34,Australia,FALSE,
353118,Wilfried BONY,2,Forward,Swansea City AFC,England,25,Ivory Coast,FALSE,
228627,Alexis SANCHEZ,2,Forward,FC Barcelona,Spain,25,Chile,FALSE,
208353,Asamoah GYAN,2,Forward,Al Ain FC,United Arab Emirates,28,Ghana,FALSE,
214876,Bryan RUIZ,2,Forward,PSV Eindhoven,Netherlands,28,Costa Rica,FALSE,
354859,Islam SLIMANI,2,Forward,Sporting CP,Portugal,26,Algeria,FALSE,
313832,Jackson MARTINEZ,2,Forward,FC Porto,Portugal,27,Colombia,FALSE,
344714,Ahmed MUSA,2,Forward,CSKA Moscow,Russia,21,Nigeria,FALSE,
354875,Abdelmoumene DJABOU,2,Forward,Club Africain,Tunisia,27,Algeria,FALSE,
311150,Mats HUMMELS,2,Defender,Borussia Dortmund,Germany,25,Germany,TRUE,
182206,Miroslav KLOSE,2,Forward,SS Lazio,Italy,36,Germany,FALSE,
312868,OSCAR,2,Midfielder,Chelsea FC,England,22,Brazil,FALSE,
271043,DAVID LUIZ,2,Defender,Chelsea FC,England,27,Brazil,FALSE,
275162,Toni KROOS,2,Midfielder,FC Bayern Muenchen,Germany,24,Germany,TRUE,
309316,Mario GOETZE,2,Forward,FC Bayern Muenchen,Germany,22,Germany,TRUE,
356409,Admir MEHMEDI,1,Forward,SC Freiburg,Germany,23,Switzerland,FALSE,
186808,Aleksandr KERZHAKOV,1,Forward,FC Zenit St. Petersburg,Russia,31,Russia,TRUE,
251352,Andres GUARDADO,1,Defender,Bayer 04 Leverkusen,Germany,27,Mexico,FALSE,
358014,Blaise MATUIDI,1,Midfielder,Paris Saint-Germain FC,France,27,France,TRUE,
216646,Blerim DZEMAILI,1,Midfielder,SSC Napoli,Italy,28,Switzerland,FALSE,
271414,Carlo COSTLY,1,Forward,Real Espana,Honduras,31,Honduras,TRUE,
318150,Charles ARANGUIZ,1,Midfielder,SC Internacional,Brazil,25,Chile,FALSE,
298664,Claudio MARCHISIO,1,Midfielder,Juventus FC,Italy,28,Italy,TRUE,
306532,Daniel STURRIDGE,1,Forward,Liverpool FC,England,24,England,TRUE,
229884,David VILLA,1,Forward,Atletico Madrid,Spain,32,Spain,TRUE,
229499,Diego GODIN,1,Defender,Atletico Madrid,Spain,28,Uruguay,FALSE,
379911,Divock ORIGI,1,Forward,Lille OSC,France,19,Belgium,FALSE,
358114,Dries MERTENS,1,Midfielder,SSC Napoli,Italy,27,Belgium,FALSE,
267834,Edinson CAVANI,1,Forward,Paris Saint-Germain FC,France,27,Uruguay,FALSE,
270301,Eduardo VARGAS,1,Forward,Valencia CF,Spain,24,Chile,FALSE,
208016,FERNANDINHO,1,Midfielder,Manchester City FC,England,29,Brazil,FALSE,
183864,Fernando TORRES,1,Forward,Chelsea FC,England,30,Spain,FALSE,
233952,FRED,1,Forward,Fluminense FC,Brazil,30,Brazil,TRUE,
311558,Granit XHAKA,1,Midfielder,Borussia Moenchengladbach,Germany,21,Switzerland,FALSE,
311554,Haris SEFEROVIC,1,Forward,Real Sociedad,Spain,22,Switzerland,FALSE,
187258,Ivica OLIC,1,Forward,VfL Wolfsburg,Germany,34,Croatia,FALSE,
228599,Javier HERNANDEZ,1,Forward,Manchester United FC,England,26,Mexico,FALSE,
